,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
265,Farming,male,Nigeria,NG,shared,field_partner,5,125,English,bullet,Agriculture,funded,17,0.311
266,Personal Products Sales,female,Philippines,PH,shared,field_partner,1,200,English,irregular,Retail,funded,8,0.039
267,Higher education costs,female,Bolivia,BO,not shared,field_partner,23,600,Spanish,monthly,Education,funded,1 Year,0.077
268,Textiles,group,Peru,PE,not shared,field_partner,5,550,Spanish,irregular,Arts,funded,9,0.071
269,Auto Repair,female,Philippines,PH,shared,field_partner,19,550,English,irregular,Services,funded,13,0.055
270,Farm Supplies,male,El Salvador,SV,shared,field_partner,5,600,Spanish,bullet,Agriculture,not_funded,13,0.201
271,Clothing Sales,female,Rwanda,RW,shared,field_partner,26,875,English,monthly,Clothing,funded,10,0.292
272,Primary/secondary school costs,female,Kenya,KE,shared,field_partner,8,200,English,irregular,Education,funded,13,0.075
273,Retail,female,Peru,PE,not shared,field_partner,12,350,Spanish,monthly,Retail,funded,8,0
274,General Store,female,Sierra Leone,SL,shared,field_partner,41,1150,English,monthly,Retail,funded,1 Year,0.319
275,Clothing Sales,male,Yemen,YE,shared,field_partner,21,2100,English,monthly,Clothing,not_funded,1 Year,0.343
276,Food,female,Kenya,KE,shared,field_partner,18,500,English,irregular,Food,funded,13,0.075
277,Pigs,female,Ecuador,EC,not shared,field_partner,15,600,Spanish,bullet,Agriculture,funded,14,0.014
278,Farming,male,Nigeria,NG,shared,field_partner,8,250,English,bullet,Agriculture,funded,19,0.311
279,Pigs,female,Philippines,PH,shared,field_partner,9,250,English,irregular,Agriculture,funded,13,0.055
280,Personal Expenses,male,Peru,PE,not shared,field_partner,1,50,Spanish,irregular,Personal Use,funded,6,0.062
281,Home Appliances,group,Cambodia,KH,shared,field_partner,10,250,English,monthly,Personal Use,funded,8,0.353
282,General Store,female,El Salvador,SV,not shared,field_partner,37,1000,Spanish,monthly,Retail,funded,20,0.03
283,Animal Sales,female,Peru,PE,shared,field_partner,3,175,Spanish,monthly,Agriculture,funded,8,0.069
284,Services,male,Guatemala,GT,shared,field_partner,14,1325,Spanish,monthly,Services,not_funded,26,0.082
285,Retail,female,Philippines,PH,not shared,field_partner,13,325,English,irregular,Retail,funded,5,0.422
286,Personal Housing Expenses,male,Nicaragua,NI,shared,field_partner,27,900,Spanish,monthly,Housing,funded,23,0.132
287,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,21,575,English,irregular,Food,funded,14,0.075
288,General Store,group,Pakistan,PK,shared,field_partner,14,1200,English,irregular,Retail,not_funded,13,0.039
289,Transportation,female,Peru,PE,shared,field_partner,1,625,Spanish,irregular,Transportation,funded,6,0.062
290,Food Stall,female,El Salvador,SV,shared,field_partner,11,1400,Spanish,monthly,Food,not_funded,26,0.054
291,Food,group,Burundi,BI,shared,field_partner,85,2300,French,irregular,Food,funded,7,0.501
292,Water Distribution,female,Nigeria,NG,not shared,field_partner,46,1200,English,monthly,Services,funded,10,0.107
293,Fish Selling,female,Honduras,HN,shared,field_partner,13,775,Spanish,monthly,Food,funded,15,0.112
294,Farming,female,Honduras,HN,shared,field_partner,40,1325,Spanish,monthly,Agriculture,not_funded,14,0.109
295,Farming,female,Kenya,KE,shared,field_partner,8,200,English,monthly,Agriculture,funded,14,0.02
296,Retail,group,Nicaragua,NI,shared,field_partner,23,600,Spanish,irregular,Retail,funded,6,0.077
297,General Store,female,El Salvador,SV,shared,field_partner,10,300,Spanish,monthly,Retail,funded,14,0.201
298,Cloth & Dressmaking Supplies,female,Ghana,GH,shared,field_partner,11,275,English,irregular,Retail,funded,6,0.122
299,Bricks,female,Colombia,CO,shared,field_partner,38,1125,Spanish,monthly,Construction,funded,15,0.009
300,Farming,female,Cambodia,KH,shared,field_partner,33,1000,English,monthly,Agriculture,not_funded,25,0.274
301,Retail,female,Nicaragua,NI,shared,field_partner,46,1300,Spanish,monthly,Retail,funded,18,0.161
302,Retail,female,Colombia,CO,shared,field_partner,20,575,Spanish,monthly,Retail,funded,15,0.009
303,General Store,group,Philippines,PH,shared,field_partner,21,800,English,irregular,Retail,funded,8,0.039
304,Agriculture,male,Colombia,CO,not shared,field_partner,37,1125,Spanish,monthly,Agriculture,funded,27,0.005
305,Home Appliances,group,Cambodia,KH,shared,field_partner,4,100,English,monthly,Personal Use,funded,8,0.204
306,Farming,group,Cambodia,KH,shared,field_partner,12,2425,English,monthly,Agriculture,not_funded,26,0.274
307,General Store,female,Philippines,PH,shared,field_partner,9,250,English,irregular,Retail,funded,8,0.029
308,Fish Selling,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Food,funded,8,0.039
309,Farming,female,Kenya,KE,shared,field_partner,3,125,English,monthly,Agriculture,funded,8,0.02
310,Retail,male,Nicaragua,NI,shared,field_partner,9,225,Spanish,monthly,Retail,funded,10,0.077
311,Farming,female,Philippines,PH,not shared,field_partner,9,225,English,bullet,Agriculture,funded,6,0.09
312,Primary/secondary school costs,female,Vietnam,VN,shared,field_partner,26,725,English,monthly,Education,funded,20,0.013
313,Home Appliances,group,Cambodia,KH,shared,field_partner,6,200,English,monthly,Personal Use,funded,8,0.696
314,Clothing Sales,female,Ghana,GH,not shared,field_partner,24,900,English,monthly,Clothing,funded,1 Year,0.058
315,Primary/secondary school costs,female,Lebanon,LB,not shared,field_partner,11,500,English,monthly,Education,funded,15,0.011
316,Clothing Sales,female,Peru,PE,shared,field_partner,15,375,Spanish,monthly,Clothing,funded,8,0
317,Wholesale,female,Pakistan,PK,shared,field_partner,8,300,English,monthly,Wholesale,funded,13,0.039
318,Food Production/Sales,female,Nigeria,NG,shared,field_partner,26,950,English,bullet,Food,funded,1 Year,0.05
319,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,19,600,English,monthly,Housing,funded,14,0.16
320,Pigs,female,Philippines,PH,not shared,field_partner,8,200,English,irregular,Agriculture,funded,6,0.055
321,Fishing,female,Philippines,PH,shared,field_partner,10,550,English,irregular,Food,funded,8,0.055
322,Tailoring,female,Nigeria,NG,shared,field_partner,14,350,English,monthly,Services,funded,10,0.107
323,General Store,female,Kenya,KE,shared,field_partner,9,800,English,monthly,Retail,not_funded,14,0.509
324,Farming,male,Kenya,KE,shared,field_partner,8,250,English,monthly,Agriculture,funded,8,0.02
325,Home Appliances,group,Cambodia,KH,shared,field_partner,20,600,English,monthly,Personal Use,funded,20,0.696
326,Pigs,group,Indonesia,ID,shared,field_partner,76,2200,English,irregular,Agriculture,funded,8,0.042
327,Personal Expenses,male,Yemen,YE,shared,field_partner,27,1175,English,monthly,Personal Use,funded,26,0.057
328,Dairy,female,Bolivia,BO,not shared,field_partner,56,1500,Spanish,monthly,Agriculture,funded,39,0.105
329,Farming,male,Philippines,PH,shared,field_partner,9,225,English,irregular,Agriculture,funded,7,0.055
330,Services,group,Afghanistan,AF,not shared,field_partner,23,600,English,monthly,Services,funded,1 Year,0.117
331,Food,male,Rwanda,RW,shared,field_partner,8,1200,English,monthly,Food,not_funded,15,0.292
332,Farming,female,Philippines,PH,shared,field_partner,9,225,English,monthly,Agriculture,funded,8,0.497
333,Animal Sales,male,Peru,PE,shared,field_partner,39,1450,Spanish,monthly,Agriculture,funded,20,0.038
334,Electronics Sales,male,Bolivia,BO,shared,field_partner,17,1175,Spanish,monthly,Retail,not_funded,21,0.077
335,Retail,female,Benin,BJ,shared,field_partner,2,225,French,monthly,Retail,funded,1 Year,0.083
336,Cereals,female,Peru,PE,not shared,field_partner,11,350,Spanish,monthly,Food,funded,5,0.071
337,Grocery Store,male,Kenya,KE,shared,field_partner,7,450,English,monthly,Food,funded,14,0.223
338,Pigs,female,Philippines,PH,not shared,field_partner,9,300,English,irregular,Agriculture,funded,7,0.039
339,Agriculture,female,Honduras,HN,shared,field_partner,29,975,Spanish,monthly,Agriculture,funded,21,0.109
340,Agriculture,female,Cameroon,CM,not shared,field_partner,30,1000,English,monthly,Agriculture,funded,26,0.167
341,Food,group,Burundi,BI,shared,field_partner,38,2100,French,irregular,Food,funded,8,0.164
342,Farming,male,Nigeria,NG,shared,field_partner,2,50,English,bullet,Agriculture,funded,19,0.311
343,Farming,group,Sierra Leone,SL,shared,field_partner,133,3600,English,monthly,Agriculture,funded,1 Year,0.319
344,Catering,female,Nicaragua,NI,shared,field_partner,16,450,Spanish,monthly,Food,funded,14,0.077
345,Manufacturing,group,Vietnam,VN,not shared,field_partner,47,1350,English,irregular,Manufacturing,funded,14,0.013
346,Sewing,female,Colombia,CO,shared,field_partner,35,1050,Spanish,monthly,Services,funded,26,0.005
347,Retail,female,Ecuador,EC,not shared,field_partner,11,400,Spanish,monthly,Retail,funded,10,0.003
348,Farming,female,Philippines,PH,shared,field_partner,19,500,English,irregular,Agriculture,funded,8,0.055
349,Agriculture,female,Vietnam,VN,not shared,field_partner,20,600,Vietnamese,irregular,Agriculture,funded,14,0.013
350,Higher education costs,female,Tajikistan,TJ,shared,field_partner,9,250,English,monthly,Education,funded,14,0.033
351,Farming,female,El Salvador,SV,shared,field_partner,6,150,Spanish,monthly,Agriculture,funded,15,0.077
352,Farming,female,Philippines,PH,shared,field_partner,7,200,English,monthly,Agriculture,funded,10,0.497
353,Farming,female,Malawi,MW,shared,field_partner,2,50,English,monthly,Agriculture,funded,10,0.314
354,Motorcycle Transport,female,Philippines,PH,not shared,field_partner,9,225,English,irregular,Transportation,funded,7,0.039
355,Sewing,female,Colombia,CO,not shared,field_partner,25,850,Spanish,monthly,Services,funded,20,0.005
356,Health,male,Cambodia,KH,not shared,field_partner,26,1000,English,monthly,Health,funded,22,0.16
357,Consumer Goods,female,Tajikistan,TJ,not shared,field_partner,22,1050,Russian,monthly,Personal Use,not_funded,14,0.021
358,Farming,female,Kenya,KE,shared,field_partner,9,500,English,monthly,Agriculture,funded,14,0.223
359,Farm Supplies,group,Cambodia,KH,shared,field_partner,26,1000,English,monthly,Agriculture,funded,14,0.16
360,Home Appliances,group,Cambodia,KH,shared,field_partner,9,225,English,monthly,Personal Use,funded,8,0.16
361,Food Production/Sales,group,Pakistan,PK,shared,field_partner,30,825,English,monthly,Food,funded,13,0.184
362,Clothing Sales,female,Nicaragua,NI,not shared,field_partner,18,475,Spanish,irregular,Clothing,funded,13,0.161
363,Retail,female,Sierra Leone,SL,shared,field_partner,1,125,English,irregular,Retail,funded,1 Year,0.319
364,Fuel/Firewood,female,Sierra Leone,SL,shared,field_partner,5,125,English,irregular,Retail,funded,11,0.449
365,Utilities,male,El Salvador,SV,shared,field_partner,13,350,Spanish,monthly,Services,funded,14,0.077
366,Food Market,group,Sierra Leone,SL,shared,field_partner,37,1000,English,monthly,Food,funded,8,0.319
367,Food,female,Philippines,PH,shared,field_partner,1,400,English,irregular,Food,funded,8,0.055
368,Tailoring,female,Kenya,KE,shared,field_partner,10,350,English,monthly,Services,funded,14,0.02
369,Food Stall,female,Kenya,KE,shared,field_partner,8,525,English,irregular,Food,funded,13,0.075
370,Farming,group,Cambodia,KH,shared,field_partner,8,225,English,monthly,Agriculture,funded,14,0.16
371,Retail,male,Colombia,CO,shared,field_partner,13,600,Spanish,bullet,Retail,not_funded,15,0.005
372,Retail,female,Kenya,KE,shared,field_partner,13,600,English,monthly,Retail,funded,13,0.223
373,Retail,group,Dominican Republic,DO,shared,field_partner,50,1550,English,irregular,Retail,funded,8,0.039
374,Food,group,The Democratic Republic of the Congo,CD,shared,field_partner,86,2450,French,irregular,Food,funded,6,0.034
375,Retail,female,Philippines,PH,shared,field_partner,1,325,English,irregular,Retail,funded,8,0.422
376,General Store,female,Philippines,PH,shared,field_partner,6,775,English,irregular,Retail,funded,5,0.422
377,Fish Selling,female,Philippines,PH,shared,field_partner,6,150,English,irregular,Food,funded,8,0.055
378,Fishing,female,Philippines,PH,shared,field_partner,8,225,English,irregular,Food,funded,11,0.055
379,Personal Housing Expenses,male,Yemen,YE,shared,field_partner,60,2350,English,monthly,Housing,not_funded,15,0.057
380,Property,female,Guatemala,GT,shared,field_partner,20,525,Spanish,monthly,Housing,funded,14,0.082
381,Property,male,Bolivia,BO,not shared,field_partner,26,700,Spanish,monthly,Housing,funded,14,0.077
382,Charcoal Sales,female,Uganda,UG,shared,field_partner,2,50,English,irregular,Retail,funded,6,0.013
383,Clothing Sales,female,Philippines,PH,shared,field_partner,4,275,English,irregular,Clothing,funded,8,0.091
384,General Store,group,Philippines,PH,shared,field_partner,110,3375,English,irregular,Retail,funded,7,0.039
385,Cattle,male,Nicaragua,NI,shared,field_partner,12,325,Spanish,bullet,Agriculture,funded,8,0.108
386,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.204
387,Tailoring,female,Pakistan,PK,shared,field_partner,11,300,English,monthly,Services,funded,14,0.039
388,Food Production/Sales,female,Philippines,PH,shared,field_partner,1,275,English,irregular,Food,funded,7,0.055
389,Retail,group,Peru,PE,not shared,field_partner,75,2075,Spanish,irregular,Retail,funded,6,0
390,Farming,female,Cambodia,KH,not shared,field_partner,12,500,English,monthly,Agriculture,funded,14,0.204
391,Cereals,female,Jordan,JO,shared,field_partner,28,750,English,monthly,Food,funded,15,0.478
392,Printing,male,United States,US,not shared,field_partner,53,3200,English,monthly,Services,funded,21,0.382
393,Clothing Sales,female,Kenya,KE,shared,field_partner,6,250,English,irregular,Clothing,funded,14,0.075
394,Poultry,group,Uganda,UG,shared,field_partner,134,4600,English,irregular,Agriculture,funded,6,0.013
395,Personal Housing Expenses,male,Peru,PE,shared,field_partner,10,300,Spanish,monthly,Housing,funded,9,0.009
396,General Store,female,Philippines,PH,not shared,field_partner,11,400,English,irregular,Retail,funded,11,0.093
397,Higher education costs,male,Tajikistan,TJ,shared,field_partner,26,1725,English,monthly,Education,not_funded,26,0.086
398,Retail,male,Nicaragua,NI,not shared,field_partner,7,175,Spanish,bullet,Retail,funded,5,0.161
399,Higher education costs,male,Nicaragua,NI,shared,field_partner,34,1000,Spanish,monthly,Education,funded,38,0.161
400,Clothing Sales,group,Guatemala,GT,shared,field_partner,19,1275,Spanish,monthly,Clothing,not_funded,14,0.067
401,Retail,group,Haiti,HT,shared,field_partner,69,2000,French,irregular,Retail,funded,8,0.244
402,Health,male,Bolivia,BO,shared,field_partner,65,3975,Spanish,monthly,Health,funded,62,0.145
403,General Store,female,Philippines,PH,shared,field_partner,10,425,English,irregular,Retail,funded,8,0.091
404,Higher education costs,female,Tajikistan,TJ,shared,field_partner,24,875,English,monthly,Education,funded,20,0.021
405,Food Production/Sales,female,Philippines,PH,shared,field_partner,1,350,English,irregular,Food,funded,8,0.054
406,Entertainment,female,Philippines,PH,shared,field_partner,17,450,English,monthly,Entertainment,funded,26,0.497
407,Used Clothing,female,Kenya,KE,not shared,field_partner,6,150,English,irregular,Clothing,funded,14,0.223
408,Charcoal Sales,female,Uganda,UG,shared,field_partner,12,325,English,irregular,Retail,funded,7,0.013
409,General Store,female,Philippines,PH,shared,field_partner,10,250,English,irregular,Retail,funded,5,0.029
410,Personal Housing Expenses,male,Nicaragua,NI,shared,field_partner,3,850,Spanish,monthly,Housing,funded,28,0.161
411,Arts,female,Egypt,EG,shared,field_partner,12,300,English,monthly,Arts,funded,14,0.022
412,Retail,male,Colombia,CO,not shared,field_partner,9,225,Spanish,monthly,Retail,funded,14,0.005
413,Home Products Sales,male,Bolivia,BO,not shared,field_partner,13,400,Spanish,monthly,Retail,funded,14,0.077
414,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,3,375,English,irregular,Housing,not_funded,48,0.029
415,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,1,475,English,irregular,Food,funded,8,0.091
416,Fruits & Vegetables,female,Togo,TG,shared,field_partner,8,350,French,irregular,Food,funded,10,0.067
417,Agriculture,group,The Democratic Republic of the Congo,CD,shared,field_partner,13,400,French,monthly,Agriculture,funded,9,0.164
418,Food,group,Togo,TG,not shared,field_partner,70,2625,French,irregular,Food,funded,7,0.067
419,Bookstore,female,Philippines,PH,not shared,field_partner,5,125,English,irregular,Retail,funded,6,0.093
420,Farming,female,Kenya,KE,shared,field_partner,8,200,English,monthly,Agriculture,funded,14,0.19
421,Grocery Store,female,India,IN,shared,field_partner,10,425,English,monthly,Food,funded,13,0.206
